,,,,,,,,,
,Category,Consumer Building Blocks,,,,,,,
,,,,,,,,,
,CB3,Manage Expenses. The aim of this building block is to enable more Canadians to keep up with their bills and credit commitments.,,,,,,,
,,1. Comments/observations on target outcome,,"This implicitly includes both the behavior that supports expenditure managment, such as budgeting and planning, and the outcome of either keeping up or falling short. Because CBBs 1 and 2 are about skills and behaviors, this CBB can be more focused on outcomes.  The sample questions reflect that approach.",,,,,
,,2. Assessment of coverage of target outcome internationally,,😀,"Observations: 

Well-covered in many financial health and well-being surveys",,,,
,,3. Best examples,,1,"How often does this statement apply to you? ""I have money left over at the end of the month""
Always; Often; Sometimes; Rarely; Never",,,,
,,,,2,"Are you expecting to be unable to pay or only make a partial payment on each of the following bills this month? Rent or mortgage, Credit card, Water, gas or electric bill, Phone or cable bill, Car payment, Student loan, Other bill",,,,
,,,,3,"Please indicate how well the following statement describes you: ""I run short of money because I overspend""
1 [Very well]; 2 [Quite well]; 3 [Not very well]; 4 [Not at all well]; 5 {Don't know]",,,,
,,,,4,"In the past 12 months, how often have you been unable to pay bills or loan commitments at the final reminder due to lack of money? 1 [Very often]; 2 [Often]; 3 [Sometimes]; 4 [Seldom]; 5 [Never]; 6 [Don't know]",,,,
,,4. Recommendations/ Proposed Indicators,,Use a suite of questions that range from more objective to more subjective to capture both actual situation and propensity.  General questions on missing payments can be supplemented by questions on specfic types of payments missed and actions taken in such cases.,,,,,
,,5. All documented measures,,Total,60,,,,
,Item,Flag,Source,Alignment to target,Sector,Objective vs. Subjective,Relates to consumer building block,Indicator/Question,Topic
,CB3.1,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Moderate,General,More subjective,,"Overall, which one of the following best describes how well you are managing financially these days?

Finding it difficult to get by; Just getting by; Doing ok; Living comfortably",Subjective evaluation of financail health
,CB3.2,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,Payments,Mixed,,"Because your income varies, have you [ IF PPMARIT=1, INSERT: and your spouse / IF PPMARIT=6, INSERT: and your partner] struggled to pay your bills in the past 12 months?

Yes, No",Bill payment management
,CB3.3,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,General,More objective,,"In the past month, would you say that your [IF PPMARIT=1, INSERT: and your spouse's / IF PPMARIT=6, INSERT: and your partner's] total spending was:

Less than your income; The same as your income; More than your income",Income adequacy
,CB3.4,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Moderate,General,More objective,,"Does anyone living outside of your household (such as a parent, child, other relatives, or friends) provide you with regular financial support? This may include cash or help with rent, groceries, education expenses, student loans, car payments, or other expenses.

Yes, No",Income dependence
,CB3.5,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Moderate,General,More objective,,"Do you receive each of the following types of financial support from people living outside of your household?
Help with rent or mortgage
Help with education expenses or student loans
Help with car payment
Help with other bills
Money for general expenses or anything else",Income dependence
,CB3.6,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Moderate,General,More objective,,"Who outside of your household provides you with regular financial support or helps you with bill payments? 
Parent
My adult child
Other relatives
Friends
Charity, Church or other organization",Income dependence
,CB3.7,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,Payments,Mixed,,"Which best describes your ability to pay all of your bills in full this month?

Able to pay bills; Can't pay some bills",Bill payment management
,CB3.8,⭐️,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,Payments,Mixed,,"Are you expecting to be unable to pay or only make a partial payment on each of the following bills this month?
Rent or mortgage
Credit card
Water, gas or electric bill
Phone or cable bill
Car payment
Student loan
Other bill",Bill payment management
,CB3.9,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,Payments,More subjective,,"Which of the following bills would you likely skip paying, or make only a partial payment on, if you had a $400 emergency expense that you had to pay?
Rent or mortgage
Credit card
Water, gas or electric bill
Phone or cable bill
Car payment
Student loan
Other bill",Bill payment management
,CB3.10,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,General,Mixed,,"During the past 12 months, was there a time when you needed each of the following, but went without because you couldn't afford it?
Prescription medicine
Seeing a doctor or specialist
Mental health care or counseling
Dental care
Follow-up care",Foregone expenses
,CB3.11,,Financial Health Network: Pulse Survey (United States),Strong,General,Mixed,,"Which of the following statements best describes how your household’s total spending compared to total income, over the last 12 months?

Spending was much less than income; 
Spending was a little less than income; 
Spending was about equal to income;
 Spending was a little more than income; 
Spending was much more than income",Income adequacy
,CB3.12,,Financial Health Network: Pulse Survey (United States),Strong,Payments,More objective,,"Which of the following statements best describes how your household has paid its bills over the last 12 months?

Pay all of our bills on time; 
Pay nearly all of our bills on time; 
Pay most of our bills on time; 
Pay some of our bills on time; 
Pay very few of our bills on time",Bill payment management
