,,,,,,,,
Category,N/A,,,,,,,
Priority,N/A,,,,,,,
,Resilience. (Ultimate goal stated in the National Financial Literacy Strategy),,,,,,,
,1. Comments/observations on target outcome,,A focused approach to resilience asks only about ability to weather financial setbacks or shocks. A broader approach considers resilience as synonymous with being in a generally healthy financial condition. Both types of questions are shown here.  ,,,,,
,2. Assessment of coverage of target outcome internationally,,😐,"Observations: Two classic types of question are often used to guage ability to weather shocks: a) ability to raise a lump sum to meet an emergency and b) length of time consumption can be maintained in the face of income loss. Variations include size of lump sum, sources for obtaining the money, time frames, and levels of income loss. Financial health or well-being is typically measured through a module of 5-10 questions that cover short term financial status, ability to withstand shocks, ability to reach long term goals and confidence in one's finances.",,,,
,3. Best examples,,1,"If you lost your main source of household income, how long could your household continue to cover living expenses, without having to borrow any money or ask for help from friends or family?  Less than a week; between one week and a month; 1-3 months; 3-6 months; 6 months or longer; Don’t know; Refused",,,,
,,,2,"Suppose that you have an emergency expense that costs $400. Based on your current financial situation, how would you pay for this expense?
Put it on my credit card and pay it off in full at the next statement
Put it on my credit card and pay it off over time
With the money currently in my checking/savings account or with cash 
Using money from a bank loan or line of credit 
By borrowing from a friend or family member 
Using a payday loan, deposit advance, or overdraft
By selling something 
I wouldn’t be able to pay for the expense",,,,
,,,3,"Overall, which of the following best describes how well you are managing financially these days?  Living comfortably; Doing okay; Just getting by; Finding it difficult to get by",,,,
,,,4,"Which of the following statements best describes how your houehold has paid its bill over the last 12 months? pay all our bills on time, nearly all, most, some, very few",,,,
,,,5,"Thinking about your household's longer-term financial goals, such as saving for a vacation, starting a business, buying or paying off a home, saving up for education, putting money away for retirement, or making retirement funds last, how confident are you that your household is currently doing what is needed to meet your longer term goals? very confident, moderately, somewhat, slightly, not at all",,,,
,4. Recommendations/ Proposed Indicators,,"Ask stakeholders to monitor the overall resilience of consumers using questions about both ability to weather shocks and overall confidence, as shown.  ",,,,,
,5. All documented measures,,Total,52,,,,
,Flag,Source,Alignment to target,Sector,Objective vs. Subjective,Relates to consumer building block,Indicator/Question,Topic and Comments
,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,Mixed,,"If tomorrow you had to meet an unexpected expense that is equivalent to a month’s income for your household, how much of it would you be able to cover from money you have available either in cash or in your bank account?",Raising a lump sum
,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,Mixed,,"Follow on to previous question: Would you need to borrow, overdraw your account or use a credit card to meet an unexpected expense equivalent to a month’s income?",Raising a lump sum
,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,Mixed,,"If your income fell by a third, for how long could you meet all your expenses without needing to borrow?",Maintaining consumption after income loss
,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,More objective,,"Thinking about the total income of your household, approximately how many month’s income do you have in savings?",Savings buffer
,,Money and Pensions Service: Financial Capability Outcomes Framework for Adults Question Bank (United Kingdom),Strong,General,Mixed,,"Which, if any of the following would you do to pay a bill of £300? If you think you would do more than one, please select the main thing you would do, that is the one you would get the most money from.
1. pay it with my/our own money, without dipping into savings or cutting back on essentials
2. pay it with my/our own money, without dipping into savings but I/we would have to cut back on essentials
3. dip into savings
4. use a form of credit (e.g. credit card, take out a loan or use an authorised overdraft facility)
5. go overdrawn without authorisation
6. get the money from friends or family as gift or loan
7. sell personal/household item(s) 
8. couldn’t pay this bill
9. Don’t know
10. Prefer not to say",Raising a lump sum
,⭐️,Money and Pensions Service: Financial Capability Outcomes Framework for Adults Question Bank (United Kingdom),Strong,General,Mixed,,"If you lost your main source of household income, how long could your household continue to cover living expenses, without having to borrow any money or ask for help from friends or family? Less than a week; between one week and a month; 1-3 months; 3-6 months; 6 months or longer; Don’t know; Refused",Maintaining consumption after income loss
,,Money and Pensions Service: Financial Capability Outcomes Framework for Adults Question Bank (United Kingdom),Moderate,General,Mixed,,"Imagine to pay an unexpected bill within the next seven days from today. What is the biggest bill could pay, either from money you already have, or money you could easily borrow in a way that you consider affordable? If you don’t know the exact amount your best guess is fine. 
1. None – I couldn’t pay an unexpected bill 2. £50 3. £100 4. £300 5. £500 6. £1,000 7. £2,500 8. £5,000 9. £10,000 10. Don’t know 11. Prefer not to say",Raising a lump sum
,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Moderate,General,More objective,,"Have you set aside emergency or rainy day funds that would cover your expenses for 3 months in case of sickness, job loss, economic downturn, or other emergencies?",Savings buffer
,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,General,Mixed,,"If you were to lose your main source of income (for example job or government benefits), could you cover your expenses for 3 months by borrowing money, using savings, or selling assets?

",Maintaining consumption after income loss
,⭐️,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,General,Mixed,,"Suppose that you have an emergency expense that costs $400. Based on your current financial situation, how would youpay for this expense?
Put it on my credit card and pay it off in full at the next statement
Put it on my credit card and pay it off over time
With the money currently in my checking/savings account or with cash -
Using money from a bank loan or line of credit - 
By borrowing from a friend or family member -
Using a payday loan, deposit advance, or overdraft
By selling something 
I wouldn’t be able to pay for the expense""                                ",Raising a lump sum
,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Moderate,General,Mixed,,"How would a $400 emergency expense that you had to pay impact your ability to pay your
other bills this month?
Could not pay some bills
Would still be able to pay all bills",Impact of financial emergency
,⭐️,,Strong,General,More subjective,,"Overall, which of the following best describes how well you are managing financially these days?  Living comfortably; Doing okay; Just getting by; Finding it difficult to get by",Overall financial condition (considered a key bellweather question by Federal Reserve)
,,Federal Reserve Board: Survey of Household and Economic Decisionmaking (United States),Strong,General,More subjective,,"Compared to 12 months ago, would you say that you (and your family) are better off, the same, or worse off financially?

Much worse off; Somewhat worse off; About the same; Somewhat better off; Much better off",Overall financial condition 
,,Financial Health Network: Pulse (United States),Strong,General,Mixed,,"At your current level of spending, how long could you and your household afford to cover expenses, if you had to live on only the money you have readily available, without withdrawing money from retirement accounts or borrowing?

6 months or more; 
3-5 months; 
1-2 months; 
1-3 weeks; 
Less than 1 week",Maintaining consumption after income loss (Part of FHN financial health score)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How well does this statement describe you or your situation? ""I could handle a major unexpected expense""
Describes me completely; very well; somewhat; very little; not at all",Weathering financial shock. (Part of CFPB financial wellbeing index and CBA reported financial wellbeing scale)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How well does this statement describe you or your situation? ""I am securing my financial future""
Describes me completely; very well; somewhat; very little; not at all",Long term financial stability (Part of CFPB financial wellbeing index and CBA reported financial wellbeing scale)
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,General,More objective,,"If, tomorrow, you had to meet an unexpected expense that is equivalent to a month’s income for your household, how much of it would you be able to cover from money you have available either in cash or in your bank account?
All of it; Some of it; None of it; Don't know",Raising a lump sum
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,General,More objective,,"Would you need to borrow, overdraw your account or use a credit card to meet an unexpected expense of a month's income?

Yes to cover all of it; Yes to cover some of it; No; Don't know",Raising a lump sum
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,General,Mixed,,"If your income fell by a third, for how many months could you meet all your expenses without needing to borrow?
More than 12 months; Between 6-12 months; Between 3-6 months; Between 1-3 months; 0-1 months; Don't know",Maintaining consumption after income loss
